datetime,ghi,dni,dhi,temp_air,wind_speed
1/1/2017 1:00,0,0,0,10,5
1/1/2017 2:00,0,0,0,10,5
1/1/2017 3:00,0,0,0,10,5
1/1/2017 4:00,0,0,0,10,5
1/1/2017 5:00,0,0,0,9,5
1/1/2017 6:00,0,0,0,9,5
1/1/2017 7:00,0,0,0,9,5
1/1/2017 8:00,8,4,8,9,5
1/1/2017 9:00,100,120,79,9,5
1/1/2017 10:00,182,188,123,9,6
1/1/2017 11:00,313,297,188,10,7
1/1/2017 12:00,268,174,184,10,7
1/1/2017 13:00,450,577,167,10,7
1/1/2017 14:00,402,586,137,11,8
1/1/2017 15:00,344,652,105,11,8
1/1/2017 16:00,197,469,85,10,7
1/1/2017 17:00,56,253,36,10,6
1/1/2017 18:00,0,0,0,10,6
1/1/2017 19:00,0,0,0,10,6
1/1/2017 20:00,0,0,0,10,6
1/1/2017 21:00,0,0,0,10,6
1/1/2017 22:00,0,0,0,9,6
1/1/2017 23:00,0,0,0,9,4
1/2/2017 0:00,0,0,0,9,4
1/2/2017 1:00,0,0,0,10,4
1/2/2017 2:00,0,0,0,8,2
1/2/2017 3:00,0,0,0,8,2
1/2/2017 4:00,0,0,0,8,2
1/2/2017 5:00,0,0,0,8,1
1/2/2017 6:00,0,0,0,8,1
1/2/2017 7:00,0,0,0,8,1
1/2/2017 8:00,5,0,5,8,1
1/2/2017 9:00,76,162,48,8,2
1/2/2017 10:00,186,193,125,8,2
1/2/2017 11:00,211,94,171,9,2
1/2/2017 12:00,223,68,190,9,3
1/2/2017 13:00,246,55,219,9,4
1/2/2017 14:00,202,62,174,10,4
1/2/2017 15:00,268,316,152,11,4
1/2/2017 16:00,189,404,92,11,4
1/2/2017 17:00,57,176,43,10,4
1/2/2017 18:00,0,0,0,10,4
1/2/2017 19:00,0,0,0,10,4
1/2/2017 20:00,0,0,0,10,4
1/2/2017 21:00,0,0,0,10,4
1/2/2017 22:00,0,0,0,10,3
1/2/2017 23:00,0,0,0,10,3
1/3/2017 0:00,0,0,0,10,3
1/3/2017 1:00,0,0,0,10,3
1/3/2017 2:00,0,0,0,10,2
1/3/2017 3:00,0,0,0,10,1
1/3/2017 4:00,0,0,0,10,2
1/3/2017 5:00,0,0,0,10,3
1/3/2017 6:00,0,0,0,10,5
1/3/2017 7:00,0,0,0,10,5
1/3/2017 8:00,10,24,10,10,5
1/3/2017 9:00,81,95,64,10,6
1/3/2017 10:00,79,26,71,11,6
1/3/2017 11:00,101,5,99,11,7
1/3/2017 12:00,109,5,107,11,8
1/3/2017 13:00,104,0,104,12,9
1/3/2017 14:00,80,0,80,12,10
1/3/2017 15:00,77,0,77,12,9
1/3/2017 16:00,39,0,39,12,9
1/3/2017 17:00,18,0,18,12,10
1/3/2017 18:00,0,0,0,12,10
1/3/2017 19:00,0,0,0,13,10
1/3/2017 20:00,0,0,0,13,10
1/3/2017 21:00,0,0,0,13,10
1/3/2017 22:00,0,0,0,13,10
1/3/2017 23:00,0,0,0,13,10
1/4/2017 0:00,0,0,0,13,10
1/4/2017 1:00,0,0,0,13,8
1/4/2017 2:00,0,0,0,13,8
1/4/2017 3:00,0,0,0,13,6
1/4/2017 4:00,0,0,0,13,6
1/4/2017 5:00,0,0,0,12,4
1/4/2017 6:00,0,0,0,12,2
1/4/2017 7:00,0,0,0,12,2
1/4/2017 8:00,2,0,2,12,2
1/4/2017 9:00,40,0,40,11,2
1/4/2017 10:00,59,0,59,12,1
